Name;Latin ;Genus;Species;2024 IUCN Red List category;RR;ISL;RLM;LAT;Average Mass;NormMin;Elevational Range;NormMax;Primary Habitat;HB;Primary Diet;DB;ESI
Plain Chachalaca;Ortalis vetula;Ortalis;vetula;LC;0;0;L;2;559.33;0;1850;1850;Shrub;5;Fruit;3;0.824
Grey-headed Chachalaca;Ortalis cinereiceps;Ortalis;cinereiceps;LC;0;0;L;1;566.5;0;1700;1700;Shrub;5;Fruit;3;0.824
Chestnut-winged Chachalaca;Ortalis garrula;Ortalis;garrula;LC;0;0;L;1;639;0;800;800;Shrub;4;Fruit;2;1.097
Rufous-vented Chachalaca;Ortalis ruficauda;Ortalis;ruficauda;LC;0;0;L;1;604.4;0;1600;1600;Forest;3;Fruit;3;1.046
Rufous-headed Chachalaca;Ortalis erythroptera;Ortalis;erythroptera;VU;0;0;L;1;632.5;0;1390;1390;Forest;6;Fruit;2;0.921
Rufous-bellied Chachalaca;Ortalis wagleri;Ortalis;wagleri;LC;0;0;L;2;834;0;1300;1300;Forest;4;Fruit;1;1.398
West Mexican Chachalaca;Ortalis poliocephala;Ortalis;poliocephala;LC;0;0;L;1;760;0;2400;2400;Forest;4;Fruit;4;0.796
Chaco Chachalaca;Ortalis canicollis;Ortalis;canicollis;LC;0;0;L;2;578.5;L;NA;1000;Forest;4;Herbivore;4;0.796
White-bellied Chachalaca;Ortalis leucogastra;Ortalis;leucogastra;LC;0;0;L;1;499.5;0;1500;1500;Forest;3;Fruit;3;1.046
Speckled Chachalaca;Ortalis guttata;Ortalis;guttata;LC;0;0;L;1;502.25;0;2000;2000;Shrub;5;Herbivore;2;1
